input,output
What is the command to display the current user's home directory?,Use 'echo $HOME'.
How do you check the system's hostname?,Use 'hostname' command.
What is the command to change the hostname temporarily?,Use 'hostname new_hostname'.
How do you check the system's architecture?,Use 'uname -m' command.
What is the command to view the system's kernel parameters?,Use 'sysctl -a' command.
How do you check the system's active users?,Use 'who' command.
What is the command to view the last logged in users?,Use 'last' command.
How do you check the system's current runlevel?,Use 'runlevel' command.
What is the command to change the system's runlevel?,Use 'init runlevel' or 'systemctl isolate target'.
How do you check the system's current time and date?,Use 'date' command.
What is the command to set the system's time?,Use 'date -s 'YYYY-MM-DD HH:MM:SS''.
How do you synchronize the system time with an NTP server?,Use 'ntpdate ntp_server'.
What is the command to check the system's NTP status?,Use 'timedatectl status'.
How do you check the system's CPU load?,Use 'uptime' or 'top' command.
What is the command to view the system's CPU frequency?,Use 'cat /proc/cpuinfo | grep 'MHz''.
How do you check the system's swap usage?,Use 'free -m' command.
What is the command to create a new user with a home directory?,Use 'useradd -m username'.
How do you delete a user and their home directory?,Use 'userdel -r username'.
What is the command to change a user's shell?,Use 'chsh -s /path/to/shell username'.
How do you check the system's group memberships?,Use 'groups username' command.
What is the command to create a new group?,Use 'groupadd groupname'.
How do you delete a group?,Use 'groupdel groupname'.
What is the command to add a user to a group?,Use 'usermod -aG groupname username'.
How do you remove a user from a group?,Use 'gpasswd -d username groupname'.
What is the command to view the contents of a directory in a tree format?,Use 'tree' command.
How do you find files by size?,Use 'find /path -size +100M' to find files larger than 100MB.
What is the command to find files modified in the last 7 days?,Use 'find /path -mtime -7'.
How do you search for files by type?,Use 'find /path -type f' for files or 'find /path -type d' for directories.
What is the command to find files with specific permissions?,Use 'find /path -perm 644'.
How do you check the system's file descriptor usage?,Use 'lsof | wc -l'.
What is the command to view the system's open files?,Use 'lsof' command.
How do you check the system's network interfaces?,Use 'ip link show' or 'ifconfig' command.
What is the command to display the routing table?,Use 'ip route show' command.
How do you check the system's ARP cache?,Use 'arp -n' command.
What is the command to display the current firewall rules?,Use 'iptables -L' command.
How do you check the status of a specific service?,Use 'systemctl status service_name'.
What is the command to start a service?,Use 'systemctl start service_name'.
How do you stop a service?,Use 'systemctl stop service_name'.
What is the command to restart a service?,Use 'systemctl restart service_name'.
How do you enable a service to start on boot?,Use 'systemctl enable service_name'.
What is the command to disable a service from starting on boot?,Use 'systemctl disable service_name'.
How do you check the logs of a specific service?,Use 'journalctl -u service_name'.
What is the command to view the system's disk usage?,Use 'df -h' command.
How do you check the disk usage of a specific directory?,Use 'du -sh /path/to/directory'.
What is the command to find the largest files in a directory?,Use 'du -ah /path | sort -rh | head -n 10'.
How do you check the system's file system type?,Use 'df -T' command.
What is the command to check the system's file system UUID?,Use 'blkid' command.
How do you check the system's file system label?,"Use 'lsblk -o NAME,LABEL' command."
What is the command to check the system's file system health?,Use 'fsck /dev/sdXn' command.
How do you check the system's file system performance?,Use 'iostat' command.
What is the command to check the system's file system latency?,Use 'iostat -x' command.
How do you check the system's file system throughput?,Use 'iostat -p ALL' command.
What is the command to check the system's file system read/write speed?,Use 'dd if=/dev/zero of=testfile bs=1G count=1 oflag=direct; rm testfile' command.
How do you check the system's CPU temperature?,Use 'sensors' command (requires lm-sensors package).
What is the command to check the system's battery status?,Use 'upower -i /org/freedesktop/UPower/devices/battery_BAT0'.
How do you check the system's power consumption?,Use 'powertop' command.
What is the command to check the system's installed packages?,Use 'dpkg -l' in Debian-based systems.
How do you search for a specific package?,Use 'apt search package_name' in Debian-based systems.
What is the command to remove a package?,Use 'apt remove package_name' in Debian-based systems.
How do you update all installed packages?,Use 'apt upgrade' in Debian-based systems.
What is the command to install a package?,Use 'apt install package_name' in Debian-based systems.
How do you check the system's available disk space?,Use 'df -h' command.
What is the command to check the system's inode usage?,Use 'df -i' command.
How do you check the system's memory usage?,Use 'free -h' command.
What is the command to check the system's swap usage?,Use 'swapon --show' command.
How do you create a new directory?,Use 'mkdir directory_name' command.
What is the command to remove a directory?,Use 'rmdir directory_name' command.
How do you copy a directory and its contents?,Use 'cp -r source_directory target_directory' command.
What is the command to move a directory?,Use 'mv source_directory target_directory' command.
How do you rename a directory?,Use 'mv old_directory_name new_directory_name' command.
What is the command to create a symbolic link?,Use 'ln -s target link_name' command.
How do you check the permissions of a file?,Use 'ls -l filename' command.
What is the command to change file permissions?,Use 'chmod permissions filename' command.
How do you change file ownership?,Use 'chown user:group filename' command.
What is the command to view the contents of a file?,Use 'cat filename' command.
How do you view a file page by page?,Use 'less filename' command.
What is the command to search for a string in a file?,Use 'grep 'string' filename' command.
How do you count the number of lines in a file?,Use 'wc -l filename' command.
What is the command to sort the contents of a file?,Use 'sort filename' command.
How do you merge two files?,Use 'cat file1 file2 > merged_file' command.
What is the command to create a backup of a file?,Use 'cp filename filename.bak' command.
How do you check the exit status of the last command?,Use 'echo $?' command.
What is the command to run a command in the background?,Use 'command &' at the end of the command.
How do you bring a background process to the foreground?,Use 'fg %job_number' command.
What is the command to list all background jobs?,Use 'jobs' command.
How do you terminate a background job?,Use 'kill %job_number' command.
What is the command to create a new bash script?,Use 'nano script.sh' command.
How do you make a bash script executable?,Use 'chmod +x script.sh' command.
What is the command to run a bash script?,Use './script.sh' command.
How do you schedule a task with cron?,Use 'crontab -e' to edit the cron jobs.
What is the command to view scheduled cron jobs?,Use 'crontab -l' command.
How do you remove a scheduled cron job?,Edit the crontab with 'crontab -e' and delete the line.
What is the command to check the system's uptime?,Use 'uptime' command.
How do you check the system's load average?,Use 'uptime' or 'top' command.
What is the command to view the system's hardware information?,Use 'lshw' command.
How do you check the system's PCI devices?,Use 'lspci' command.
What is the command to check the system's USB devices?,Use 'lsusb' command.
How do you check the system's block devices?,Use 'lsblk' command.
What is the command to check the system's partitions?,Use 'fdisk -l' command.
How do you format a partition?,Use 'mkfs.ext4 /dev/sdXn' command.
What is the command to mount a filesystem?,Use 'mount /dev/sdXn /mount/point' command.
How do you unmount a filesystem?,Use 'umount /mount/point' command.
What is the command to check the filesystem for errors?,Use 'fsck /dev/sdXn' command.
How do you resize a filesystem?,Use 'resize2fs /dev/sdXn' command.
What is the command to create a swap file?,Use 'fallocate -l 1G /swapfile' and 'mkswap /swapfile' command.
How do you enable swap?,Use 'swapon /swapfile' command.
What is the command to disable swap?,Use 'swapoff /swapfile' command.
How do you check the swap usage?,Use 'swapon --show' or 'free -h' command.
What is the command to view the system's boot logs?,Use 'journalctl -b' command.
How do you check the status of the systemd journal?,Use 'journalctl --disk-usage' command.
What is the command to view the last boot time?,Use 'who -b' command.
How do you check the system's time zone?,Use 'timedatectl' command.
What is the command to change the time zone?,Use 'timedatectl set-timezone Region/City' command.
How do you synchronize the system clock with NTP?,Use 'timedatectl set-ntp true' command.
What is the command to check the system's locale settings?,Use 'locale' command.
How do you change the system's locale?,Edit the '/etc/locale.gen' file and run 'locale-gen' command.
What is the command to check the system's active network connections?,Use 'ss -tuln' or 'netstat -tuln' command.
How do you check the status of a specific network interface?,Use 'ip addr show interface_name' command.
What is the command to display the ARP table?,Use 'arp -a' command.
How do you check the DNS resolution?,Use 'dig domain_name' or 'nslookup domain_name' command.
What is the command to test network connectivity?,Use 'ping domain_name' or 'ping IP_address' command.
How do you check the speed of a network connection?,Use 'iperf' or 'speedtest-cli' command.
What is the command to view the system's firewall rules?,Use 'iptables -L' or 'ufw status verbose' command.
How do you allow traffic on a specific port using iptables?,Use 'iptables -A INPUT -p tcp --dport port_number -j ACCEPT' command.
What is the command to save iptables rules?,Use 'iptables-save > /etc/iptables/rules.v4' command.
How do you restore iptables rules?,Use 'iptables-restore < /etc/iptables/rules.v4' command.
What is the command to check the status of SELinux?,Use 'sestatus' command.
How do you enable SELinux?,Edit the '/etc/selinux/config' file and set 'SELINUX=enforcing' command.
What is the command to check the status of AppArmor?,Use 'sudo aa-status' command.
How do you enable AppArmor?,Use 'sudo systemctl enable apparmor' and 'sudo systemctl start apparmor' command.
What is the command to check the system's installed kernel modules?,Use 'lsmod' command.
How do you load a kernel module?,Use 'modprobe module_name' command.
What is the command to unload a kernel module?,Use 'modprobe -r module_name' command.
How do you check the system's CPU information?,Use 'lscpu' command.
What is the command to check the system's RAM information?,Use 'free -h' command.
How do you check the system's GPU information?,Use 'lspci | grep VGA' command.
How do you check the system's file system usage?,Use 'df -h' command.
What is the command to check the system's file system free space?,Use 'df -h' command.
How do you check the system's file system used space?,Use 'df -h' command.
What is the command to check the system's file system available space?,Use 'df -h' command.
How do you check the system's file system type?,Use 'df -T' command.
How do you check the system's file system mount point?,Use 'df -h' command.
What is the command to check the system's file system status?,Use 'df -h' command.
How do you check the system's file system errors?,Use 'fsck /dev/sdXn' command.
How do you check the system's file system performance?,Use 'iostat' command.
What is the command to check the system's file system latency?,Use 'iostat -x' command.
How do you check the system's file system throughput?,Use 'iostat -p ALL' command.
How do you check the system's file system read/write speed?,Use 'dd if=/dev/zero of=testfile bs=1G count=1 oflag=direct; rm testfile' command.
What should I do when I get a 'file not found' error with the 'chmod' command?,Check the permissions or syntax for the 'chmod' command. Use 'man chmod' for more information.
What should I do when I get a 'network unreachable' error with the 'cp' command?,Check the permissions or syntax for the 'cp' command. Use 'man cp' for more information.
What should I do when I get a 'permission denied' error with the 'ls' command?,Check the permissions or syntax for the 'ls' command. Use 'man ls' for more information.
What should I do when I get a 'command not found' error with the 'cd' command?,Check the permissions or syntax for the 'cd' command. Use 'man cd' for more information.
What should I do when I get a 'out of memory' error with the 'man' command?,Check the permissions or syntax for the 'man' command. Use 'man man' for more information.
What should I do when I get a 'network unreachable' error with the 'df' command?,Check the permissions or syntax for the 'df' command. Use 'man df' for more information.
What should I do when I get a 'permission denied' error with the 'pwd' command?,Check the permissions or syntax for the 'pwd' command. Use 'man pwd' for more information.
What should I do when I get a 'command not found' error with the 'man' command?,Check the permissions or syntax for the 'man' command. Use 'man man' for more information.
What should I do when I get a 'connection refused' error with the 'scp' command?,Check the permissions or syntax for the 'scp' command. Use 'man scp' for more information.
What should I do when I get a 'permission denied' error with the 'pwd' command?,Check the permissions or syntax for the 'pwd' command. Use 'man pwd' for more information.
What should I do when I get a 'out of memory' error with the 'chown' command?,Check the permissions or syntax for the 'chown' command. Use 'man chown' for more information.
What should I do when I get a 'network unreachable' error with the 'ssh' command?,Check the permissions or syntax for the 'ssh' command. Use 'man ssh' for more information.
What should I do when I get a 'connection refused' error with the 'chown' command?,Check the permissions or syntax for the 'chown' command. Use 'man chown' for more information.
What should I do when I get a 'connection refused' error with the 'rm' command?,Check the permissions or syntax for the 'rm' command. Use 'man rm' for more information.
What should I do when I get a 'command not found' error with the 'man' command?,Check the permissions or syntax for the 'man' command. Use 'man man' for more information.
What should I do when I get a 'permission denied' error with the 'chmod' command?,Check the permissions or syntax for the 'chmod' command. Use 'man chmod' for more information.
What should I do when I get a 'command not found' error with the 'tar' command?,Check the permissions or syntax for the 'tar' command. Use 'man tar' for more information.
What should I do when I get a 'disk full' error with the 'rm' command?,Check the permissions or syntax for the 'rm' command. Use 'man rm' for more information.
What should I do when I get a 'permission denied' error with the 'mkdir' command?,Check the permissions or syntax for the 'mkdir' command. Use 'man mkdir' for more information.
What should I do when I get a 'disk full' error with the 'df' command?,Check the permissions or syntax for the 'df' command. Use 'man df' for more information.
What should I do when I get a 'command not found' error with the 'ls' command?,Check the permissions or syntax for the 'ls' command. Use 'man ls' for more information.
What should I do when I get a 'file not found' error with the 'cp' command?,Check the permissions or syntax for the 'cp' command. Use 'man cp' for more information.
What should I do when I get a 'permission denied' error with the 'kill' command?,Check the permissions or syntax for the 'kill' command. Use 'man kill' for more information.
What should I do when I get a 'network unreachable' error with the 'ls' command?,Check the permissions or syntax for the 'ls' command. Use 'man ls' for more information.
What should I do when I get a 'permission denied' error with the 'sudo' command?,Check the permissions or syntax for the 'sudo' command. Use 'man sudo' for more information.
What should I do when I get a 'permission denied' error with the 'ssh' command?,Check the permissions or syntax for the 'ssh' command. Use 'man ssh' for more information.
What should I do when I get a 'out of memory' error with the 'ls' command?,Check the permissions or syntax for the 'ls' command. Use 'man ls' for more information.
What should I do when I get a 'file not found' error with the 'mkdir' command?,Check the permissions or syntax for the 'mkdir' command. Use 'man mkdir' for more information.
What should I do when I get a 'out of memory' error with the 'sudo' command?,Check the permissions or syntax for the 'sudo' command. Use 'man sudo' for more information.
What should I do when I get a 'out of memory' error with the 'cp' command?,Check the permissions or syntax for the 'cp' command. Use 'man cp' for more information.
What should I do when I get a 'segmentation fault' error with the 'ssh' command?,Check the permissions or syntax for the 'ssh' command. Use 'man ssh' for more information.
What should I do when I get a 'disk full' error with the 'cd' command?,Check the permissions or syntax for the 'cd' command. Use 'man cd' for more information.
What should I do when I get a 'file not found' error with the 'ps' command?,Check the permissions or syntax for the 'ps' command. Use 'man ps' for more information.
What should I do when I get a 'network unreachable' error with the 'cd' command?,Check the permissions or syntax for the 'cd' command. Use 'man cd' for more information.
What should I do when I get a 'connection refused' error with the 'tar' command?,Check the permissions or syntax for the 'tar' command. Use 'man tar' for more information.
What should I do when I get a 'command not found' error with the 'ssh' command?,Check the permissions or syntax for the 'ssh' command. Use 'man ssh' for more information.
What should I do when I get a 'network unreachable' error with the 'rm' command?,Check the permissions or syntax for the 'rm' command. Use 'man rm' for more information.
What should I do when I get a 'network unreachable' error with the 'chmod' command?,Check the permissions or syntax for the 'chmod' command. Use 'man chmod' for more information.
What should I do when I get a 'segmentation fault' error with the 'chmod' command?,Check the permissions or syntax for the 'chmod' command. Use 'man chmod' for more information.
What should I do when I get a 'segmentation fault' error with the 'find' command?,Check the permissions or syntax for the 'find' command. Use 'man find' for more information.
What should I do when I get a 'command not found' error with the 'sudo' command?,Check the permissions or syntax for the 'sudo' command. Use 'man sudo' for more information.
What should I do when I get a 'network unreachable' error with the 'cd' command?,Check the permissions or syntax for the 'cd' command. Use 'man cd' for more information.
What should I do when I get a 'disk full' error with the 'du' command?,Check the permissions or syntax for the 'du' command. Use 'man du' for more information.
What should I do when I get a 'connection refused' error with the 'top' command?,Check the permissions or syntax for the 'top' command. Use 'man top' for more information.
What should I do when I get a 'permission denied' error with the 'chmod' command?,Check the permissions or syntax for the 'chmod' command. Use 'man chmod' for more information.
What should I do when I get a 'out of memory' error with the 'ssh' command?,Check the permissions or syntax for the 'ssh' command. Use 'man ssh' for more information.
What should I do when I get a 'out of memory' error with the 'ls' command?,Check the permissions or syntax for the 'ls' command. Use 'man ls' for more information.
What should I do when I get a 'file not found' error with the 'scp' command?,Check the permissions or syntax for the 'scp' command. Use 'man scp' for more information.
What should I do when I get a 'out of memory' error with the 'mkdir' command?,Check the permissions or syntax for the 'mkdir' command. Use 'man mkdir' for more information.
What should I do when I get a 'command not found' error with the 'man' command?,Check the permissions or syntax for the 'man' command. Use 'man man' for more information.
What should I do when I get a 'file not found' error with the 'ps' command?,Check the permissions or syntax for the 'ps' command. Use 'man ps' for more information.
What should I do when I get a 'connection refused' error with the 'kill' command?,Check the permissions or syntax for the 'kill' command. Use 'man kill' for more information.
What should I do when I get a 'permission denied' error with the 'tar' command?,Check the permissions or syntax for the 'tar' command. Use 'man tar' for more information.
What should I do when I get a 'disk full' error with the 'cp' command?,Check the permissions or syntax for the 'cp' command. Use 'man cp' for more information.
What should I do when I get a 'out of memory' error with the 'chown' command?,Check the permissions or syntax for the 'chown' command. Use 'man chown' for more information.
What should I do when I get a 'permission denied' error with the 'chown' command?,Check the permissions or syntax for the 'chown' command. Use 'man chown' for more information.
What should I do when I get a 'disk full' error with the 'mv' command?,Check the permissions or syntax for the 'mv' command. Use 'man mv' for more information.
What should I do when I get a 'disk full' error with the 'mkdir' command?,Check the permissions or syntax for the 'mkdir' command. Use 'man mkdir' for more information.
What should I do when I get a 'network unreachable' error with the 'rm' command?,Check the permissions or syntax for the 'rm' command. Use 'man rm' for more information.
